customer_key,customer_id,account_number,person_id,full_name,first_name,last_name,email_promotion,territory_id
153,153,AW00000153,,,,,,5
154,154,AW00000154,,,,,,6
155,155,AW00000155,,,,,,6
156,156,AW00000156,,,,,,6
157,157,AW00000157,,,,,,7
158,158,AW00000158,,,,,,8
159,159,AW00000159,,,,,,9
160,160,AW00000160,,,,,,10
161,161,AW00000161,,,,,,2
162,162,AW00000162,,,,,,2
163,163,AW00000163,,,,,,1
164,164,AW00000164,,,,,,1
165,165,AW00000165,,,,,,4
166,166,AW00000166,,,,,,4
167,167,AW00000167,,,,,,4
168,168,AW00000168,,,,,,4
169,169,AW00000169,,,,,,1
170,170,AW00000170,,,,,,5
171,171,AW00000171,,,,,,5
172,172,AW00000172,,,,,,6
173,173,AW00000173,,,,,,6
174,174,AW00000174,,,,,,6
175,175,AW00000175,,,,,,7
176,176,AW00000176,,,,,,8
177,177,AW00000177,,,,,,9
178,178,AW00000178,,,,,,10
179,179,AW00000179,,,,,,2
180,180,AW00000180,,,,,,3
181,181,AW00000181,,,,,,1
182,182,AW00000182,,,,,,1
183,183,AW00000183,,,,,,3
184,184,AW00000184,,,,,,4
185,185,AW00000185,,,,,,4
186,186,AW00000186,,,,,,4
187,187,AW00000187,,,,,,4
188,188,AW00000188,,,,,,5
189,189,AW00000189,,,,,,5
190,190,AW00000190,,,,,,6
191,191,AW00000191,,,,,,6
192,192,AW00000192,,,,,,6
193,193,AW00000193,,,,,,7
194,194,AW00000194,,,,,,8
195,195,AW00000195,,,,,,9
196,196,AW00000196,,,,,,10
197,197,AW00000197,,,,,,3
198,198,AW00000198,,,,,,3
199,199,AW00000199,,,,,,1
200,200,AW00000200,,,,,,1
201,201,AW00000201,,,,,,4
202,202,AW00000202,,,,,,4
203,203,AW00000203,,,,,,4
204,204,AW00000204,,,,,,4
205,205,AW00000205,,,,,,4
206,206,AW00000206,,,,,,5
207,207,AW00000207,,,,,,5
208,208,AW00000208,,,,,,6
209,209,AW00000209,,,,,,6
210,210,AW00000210,,,,,,6
211,211,AW00000211,,,,,,7
212,212,AW00000212,,,,,,8
213,213,AW00000213,,,,,,9
214,214,AW00000214,,,,,,10
215,215,AW00000215,,,,,,2
216,216,AW00000216,,,,,,2
217,217,AW00000217,,,,,,1
218,218,AW00000218,,,,,,1
219,219,AW00000219,,,,,,3
220,220,AW00000220,,,,,,3
221,221,AW00000221,,,,,,4
222,222,AW00000222,,,,,,3
223,223,AW00000223,,,,,,3
224,224,AW00000224,,,,,,5
225,225,AW00000225,,,,,,5
226,226,AW00000226,,,,,,6
227,227,AW00000227,,,,,,6
228,228,AW00000228,,,,,,6
229,229,AW00000229,,,,,,7
230,230,AW00000230,,,,,,8
231,231,AW00000231,,,,,,9
232,232,AW00000232,,,,,,10
233,233,AW00000233,,,,,,2
234,234,AW00000234,,,,,,2
235,235,AW00000235,,,,,,1
236,236,AW00000236,,,,,,1
237,237,AW00000237,,,,,,3
238,238,AW00000238,,,,,,3
239,239,AW00000239,,,,,,4
240,240,AW00000240,,,,,,4
241,241,AW00000241,,,,,,4
242,242,AW00000242,,,,,,5
243,243,AW00000243,,,,,,5
244,244,AW00000244,,,,,,6
245,245,AW00000245,,,,,,6
246,246,AW00000246,,,,,,6
247,247,AW00000247,,,,,,7
248,248,AW00000248,,,,,,8
249,249,AW00000249,,,,,,9
250,250,AW00000250,,,,,,10
251,251,AW00000251,,,,,,2
252,252,AW00000252,,,,,,2
253,253,AW00000253,,,,,,1
254,254,AW00000254,,,,,,1
255,255,AW00000255,,,,,,4
256,256,AW00000256,,,,,,4
257,257,AW00000257,,,,,,4
258,258,AW00000258,,,,,,4
259,259,AW00000259,,,,,,4
260,260,AW00000260,,,,,,5
261,261,AW00000261,,,,,,5
262,262,AW00000262,,,,,,6
263,263,AW00000263,,,,,,6
264,264,AW00000264,,,,,,6
265,265,AW00000265,,,,,,7
266,266,AW00000266,,,,,,8
267,267,AW00000267,,,,,,9
268,268,AW00000268,,,,,,10
269,269,AW00000269,,,,,,2
270,270,AW00000270,,,,,,2
271,271,AW00000271,,,,,,1
272,272,AW00000272,,,,,,1
273,273,AW00000273,,,,,,4
274,274,AW00000274,,,,,,3
275,275,AW00000275,,,,,,4
276,276,AW00000276,,,,,,4
277,277,AW00000277,,,,,,4
278,278,AW00000278,,,,,,5
279,279,AW00000279,,,,,,5
280,280,AW00000280,,,,,,6
281,281,AW00000281,,,,,,6
282,282,AW00000282,,,,,,6
283,283,AW00000283,,,,,,7
284,284,AW00000284,,,,,,8
285,285,AW00000285,,,,,,9
286,286,AW00000286,,,,,,10
287,287,AW00000287,,,,,,3
288,288,AW00000288,,,,,,3
289,289,AW00000289,,,,,,1
290,290,AW00000290,,,,,,1
291,291,AW00000291,,,,,,4
292,292,AW00000292,,,,,,4
293,293,AW00000293,,,,,,1
294,294,AW00000294,,,,,,4
295,295,AW00000295,,,,,,4
296,296,AW00000296,,,,,,5
297,297,AW00000297,,,,,,5
298,298,AW00000298,,,,,,6
299,299,AW00000299,,,,,,6
300,300,AW00000300,,,,,,6
301,301,AW00000301,,,,,,7
302,302,AW00000302,,,,,,8
303,303,AW00000303,,,,,,9
304,304,AW00000304,,,,,,10
305,305,AW00000305,,,,,,2
306,306,AW00000306,,,,,,3
307,307,AW00000307,,,,,,1
308,308,AW00000308,,,,,,1
309,309,AW00000309,,,,,,4
310,310,AW00000310,,,,,,3
311,311,AW00000311,,,,,,4
312,312,AW00000312,,,,,,4
313,313,AW00000313,,,,,,4
314,314,AW00000314,,,,,,5
315,315,AW00000315,,,,,,5
316,316,AW00000316,,,,,,6
317,317,AW00000317,,,,,,6
318,318,AW00000318,,,,,,6
319,319,AW00000319,,,,,,7
320,320,AW00000320,,,,,,8
321,321,AW00000321,,,,,,9
322,322,AW00000322,,,,,,10
323,323,AW00000323,,,,,,3
324,324,AW00000324,,,,,,2
325,325,AW00000325,,,,,,1
326,326,AW00000326,,,,,,1
327,327,AW00000327,,,,,,3
328,328,AW00000328,,,,,,4
329,329,AW00000329,,,,,,4
330,330,AW00000330,,,,,,4
331,331,AW00000331,,,,,,4
332,332,AW00000332,,,,,,5
333,333,AW00000333,,,,,,5
334,334,AW00000334,,,,,,6
335,335,AW00000335,,,,,,6
336,336,AW00000336,,,,,,6
337,337,AW00000337,,,,,,7
338,338,AW00000338,,,,,,8
339,339,AW00000339,,,,,,9
340,340,AW00000340,,,,,,10
341,341,AW00000341,,,,,,2
342,342,AW00000342,,,,,,2
343,343,AW00000343,,,,,,1
344,344,AW00000344,,,,,,1
345,345,AW00000345,,,,,,4
346,346,AW00000346,,,,,,3
347,347,AW00000347,,,,,,4
348,348,AW00000348,,,,,,3
349,349,AW00000349,,,,,,4
350,350,AW00000350,,,,,,5
351,351,AW00000351,,,,,,5
352,352,AW00000352,,,,,,6
353,353,AW00000353,,,,,,6
354,354,AW00000354,,,,,,6
355,355,AW00000355,,,,,,7
356,356,AW00000356,,,,,,8
357,357,AW00000357,,,,,,9
358,358,AW00000358,,,,,,10
359,359,AW00000359,,,,,,2
360,360,AW00000360,,,,,,3
361,361,AW00000361,,,,,,1
362,362,AW00000362,,,,,,1
363,363,AW00000363,,,,,,3
364,364,AW00000364,,,,,,3
365,365,AW00000365,,,,,,4
366,366,AW00000366,,,,,,4
367,367,AW00000367,,,,,,4
368,368,AW00000368,,,,,,5
369,369,AW00000369,,,,,,5
370,370,AW00000370,,,,,,6
371,371,AW00000371,,,,,,6
372,372,AW00000372,,,,,,6
373,373,AW00000373,,,,,,7
374,374,AW00000374,,,,,,8
375,375,AW00000375,,,,,,9
376,376,AW00000376,,,,,,10
377,377,AW00000377,,,,,,3
378,378,AW00000378,,,,,,2
379,379,AW00000379,,,,,,1
380,380,AW00000380,,,,,,1
381,381,AW00000381,,,,,,3
382,382,AW00000382,,,,,,4
383,383,AW00000383,,,,,,4
384,384,AW00000384,,,,,,4
385,385,AW00000385,,,,,,4
386,386,AW00000386,,,,,,5
387,387,AW00000387,,,,,,5
388,388,AW00000388,,,,,,6
389,389,AW00000389,,,,,,6
390,390,AW00000390,,,,,,6
391,391,AW00000391,,,,,,7
392,392,AW00000392,,,,,,8
393,393,AW00000393,,,,,,9
394,394,AW00000394,,,,,,10
395,395,AW00000395,,,,,,3
396,396,AW00000396,,,,,,2
397,397,AW00000397,,,,,,1
398,398,AW00000398,,,,,,1
399,399,AW00000399,,,,,,4
400,400,AW00000400,,,,,,3
401,401,AW00000401,,,,,,1
402,402,AW00000402,,,,,,4
403,403,AW00000403,,,,,,4
404,404,AW00000404,,,,,,5
405,405,AW00000405,,,,,,5
406,406,AW00000406,,,,,,6
407,407,AW00000407,,,,,,6
408,408,AW00000408,,,,,,6
409,409,AW00000409,,,,,,7
410,410,AW00000410,,,,,,8
411,411,AW00000411,,,,,,9
412,412,AW00000412,,,,,,10
413,413,AW00000413,,,,,,2
414,414,AW00000414,,,,,,2
415,415,AW00000415,,,,,,1
416,416,AW00000416,,,,,,1
417,417,AW00000417,,,,,,4
418,418,AW00000418,,,,,,3
419,419,AW00000419,,,,,,4
420,420,AW00000420,,,,,,4
421,421,AW00000421,,,,,,4
422,422,AW00000422,,,,,,5
423,423,AW00000423,,,,,,5
424,424,AW00000424,,,,,,6
425,425,AW00000425,,,,,,6
426,426,AW00000426,,,,,,6
427,427,AW00000427,,,,,,7
428,428,AW00000428,,,,,,8
429,429,AW00000429,,,,,,9
430,430,AW00000430,,,,,,10
431,431,AW00000431,,,,,,3
432,432,AW00000432,,,,,,2
433,433,AW00000433,,,,,,1
434,434,AW00000434,,,,,,1
435,435,AW00000435,,,,,,4
436,436,AW00000436,,,,,,4
437,437,AW00000437,,,,,,4
438,438,AW00000438,,,,,,1
439,439,AW00000439,,,,,,4
440,440,AW00000440,,,,,,5
441,441,AW00000441,,,,,,5
442,442,AW00000442,,,,,,6
443,443,AW00000443,,,,,,6
444,444,AW00000444,,,,,,6
445,445,AW00000445,,,,,,7
446,446,AW00000446,,,,,,8
447,447,AW00000447,,,,,,9
448,448,AW00000448,,,,,,10
449,449,AW00000449,,,,,,5
450,450,AW00000450,,,,,,2
451,451,AW00000451,,,,,,1
452,452,AW00000452,,,,,,1
453,453,AW00000453,,,,,,3
454,454,AW00000454,,,,,,3
455,455,AW00000455,,,,,,4
456,456,AW00000456,,,,,,4
457,457,AW00000457,,,,,,4
458,458,AW00000458,,,,,,5
459,459,AW00000459,,,,,,5
460,460,AW00000460,,,,,,6
461,461,AW00000461,,,,,,6
462,462,AW00000462,,,,,,6
463,463,AW00000463,,,,,,7
464,464,AW00000464,,,,,,8
465,465,AW00000465,,,,,,9
466,466,AW00000466,,,,,,10
467,467,AW00000467,,,,,,5
468,468,AW00000468,,,,,,3
469,469,AW00000469,,,,,,1
470,470,AW00000470,,,,,,1
471,471,AW00000471,,,,,,4
472,472,AW00000472,,,,,,3
473,473,AW00000473,,,,,,4
474,474,AW00000474,,,,,,4
475,475,AW00000475,,,,,,4
476,476,AW00000476,,,,,,5
477,477,AW00000477,,,,,,5
478,478,AW00000478,,,,,,6
479,479,AW00000479,,,,,,6
480,480,AW00000480,,,,,,6
481,481,AW00000481,,,,,,7
482,482,AW00000482,,,,,,8
483,483,AW00000483,,,,,,9
484,484,AW00000484,,,,,,10
485,485,AW00000485,,,,,,5
486,486,AW00000486,,,,,,2
487,487,AW00000487,,,,,,1
488,488,AW00000488,,,,,,1
489,489,AW00000489,,,,,,4
490,490,AW00000490,,,,,,4
491,491,AW00000491,,,,,,4
492,492,AW00000492,,,,,,4
493,493,AW00000493,,,,,,4
494,494,AW00000494,,,,,,5
495,495,AW00000495,,,,,,5
496,496,AW00000496,,,,,,6
497,497,AW00000497,,,,,,6
498,498,AW00000498,,,,,,6
499,499,AW00000499,,,,,,7
500,500,AW00000500,,,,,,8
501,501,AW00000501,,,,,,9
502,502,AW00000502,,,,,,10
503,503,AW00000503,,,,,,2
504,504,AW00000504,,,,,,3
505,505,AW00000505,,,,,,1
506,506,AW00000506,,,,,,1
507,507,AW00000507,,,,,,4
508,508,AW00000508,,,,,,4
509,509,AW00000509,,,,,,4
510,510,AW00000510,,,,,,4
511,511,AW00000511,,,,,,4
512,512,AW00000512,,,,,,5
513,513,AW00000513,,,,,,5
514,514,AW00000514,,,,,,6
515,515,AW00000515,,,,,,6
516,516,AW00000516,,,,,,6
517,517,AW00000517,,,,,,7
518,518,AW00000518,,,,,,8
519,519,AW00000519,,,,,,9
520,520,AW00000520,,,,,,10
521,521,AW00000521,,,,,,2
522,522,AW00000522,,,,,,2
523,523,AW00000523,,,,,,3
524,524,AW00000524,,,,,,5
525,525,AW00000525,,,,,,5
526,526,AW00000526,,,,,,6
527,527,AW00000527,,,,,,3
528,528,AW00000528,,,,,,4
529,529,AW00000529,,,,,,4
530,530,AW00000530,,,,,,5
531,531,AW00000531,,,,,,5
532,532,AW00000532,,,,,,6
533,533,AW00000533,,,,,,6
534,534,AW00000534,,,,,,6
535,535,AW00000535,,,,,,7
536,536,AW00000536,,,,,,8
537,537,AW00000537,,,,,,9
538,538,AW00000538,,,,,,10
539,539,AW00000539,,,,,,2
540,540,AW00000540,,,,,,2
541,541,AW00000541,,,,,,1
542,542,AW00000542,,,,,,1
543,543,AW00000543,,,,,,3
544,544,AW00000544,,,,,,3
545,545,AW00000545,,,,,,4
546,546,AW00000546,,,,,,3
547,547,AW00000547,,,,,,4
548,548,AW00000548,,,,,,5
549,549,AW00000549,,,,,,5
550,550,AW00000550,,,,,,6
551,551,AW00000551,,,,,,6
552,552,AW00000552,,,,,,6
553,553,AW00000553,,,,,,7
554,554,AW00000554,,,,,,8
555,555,AW00000555,,,,,,9
556,556,AW00000556,,,,,,10
557,557,AW00000557,,,,,,2
558,558,AW00000558,,,,,,2
559,559,AW00000559,,,,,,1
560,560,AW00000560,,,,,,1
561,561,AW00000561,,,,,,4
562,562,AW00000562,,,,,,3
563,563,AW00000563,,,,,,4
564,564,AW00000564,,,,,,1
565,565,AW00000565,,,,,,4
566,566,AW00000566,,,,,,5
567,567,AW00000567,,,,,,5
568,568,AW00000568,,,,,,6
569,569,AW00000569,,,,,,6
570,570,AW00000570,,,,,,6
571,571,AW00000571,,,,,,7
572,572,AW00000572,,,,,,8
573,573,AW00000573,,,,,,9
574,574,AW00000574,,,,,,10
575,575,AW00000575,,,,,,2
576,576,AW00000576,,,,,,2
577,577,AW00000577,,,,,,1
578,578,AW00000578,,,,,,1
579,579,AW00000579,,,,,,3
580,580,AW00000580,,,,,,4
581,581,AW00000581,,,,,,4
582,582,AW00000582,,,,,,4
583,583,AW00000583,,,,,,4
584,584,AW00000584,,,,,,5
585,585,AW00000585,,,,,,5
586,586,AW00000586,,,,,,6
587,587,AW00000587,,,,,,6
588,588,AW00000588,,,,,,6
589,589,AW00000589,,,,,,7
590,590,AW00000590,,,,,,8
591,591,AW00000591,,,,,,9
592,592,AW00000592,,,,,,10
593,593,AW00000593,,,,,,2
594,594,AW00000594,,,,,,2
595,595,AW00000595,,,,,,1
596,596,AW00000596,,,,,,1
597,597,AW00000597,,,,,,4
598,598,AW00000598,,,,,,3
599,599,AW00000599,,,,,,4
600,600,AW00000600,,,,,,4
601,601,AW00000601,,,,,,1
602,602,AW00000602,,,,,,5
603,603,AW00000603,,,,,,5
604,604,AW00000604,,,,,,1
605,605,AW00000605,,,,,,1
606,606,AW00000606,,,,,,3
607,607,AW00000607,,,,,,4
608,608,AW00000608,,,,,,4
609,609,AW00000609,,,,,,4
610,610,AW00000610,,,,,,4
611,611,AW00000611,,,,,,5
612,612,AW00000612,,,,,,5
613,613,AW00000613,,,,,,6
614,614,AW00000614,,,,,,7
615,615,AW00000615,,,,,,8
616,616,AW00000616,,,,,,9
617,617,AW00000617,,,,,,10
618,618,AW00000618,,,,,,2
619,619,AW00000619,,,,,,2
620,620,AW00000620,,,,,,1
621,621,AW00000621,,,,,,1
622,622,AW00000622,,,,,,3
623,623,AW00000623,,,,,,3
624,624,AW00000624,,,,,,4
625,625,AW00000625,,,,,,4
626,626,AW00000626,,,,,,1
627,627,AW00000627,,,,,,5
628,628,AW00000628,,,,,,5
629,629,AW00000629,,,,,,6
630,630,AW00000630,,,,,,6
631,631,AW00000631,,,,,,6
632,632,AW00000632,,,,,,7
633,633,AW00000633,,,,,,8
634,634,AW00000634,,,,,,9
635,635,AW00000635,,,,,,10
636,636,AW00000636,,,,,,2
637,637,AW00000637,,,,,,6
638,638,AW00000638,,,,,,7
639,639,AW00000639,,,,,,8
640,640,AW00000640,,,,,,9
641,641,AW00000641,,,,,,10
642,642,AW00000642,,,,,,2
643,643,AW00000643,,,,,,3
644,644,AW00000644,,,,,,1
645,645,AW00000645,,,,,,1
646,646,AW00000646,,,,,,3
647,647,AW00000647,,,,,,4
648,648,AW00000648,,,,,,4
649,649,AW00000649,,,,,,4
650,650,AW00000650,,,,,,1
651,651,AW00000651,,,,,,5
652,652,AW00000652,,,,,,5
653,653,AW00000653,,,,,,6
654,654,AW00000654,,,,,,6
655,655,AW00000655,,,,,,6
656,656,AW00000656,,,,,,7
657,657,AW00000657,,,,,,8
658,658,AW00000658,,,,,,9
659,659,AW00000659,,,,,,10
660,660,AW00000660,,,,,,3
661,661,AW00000661,,,,,,6
662,662,AW00000662,,,,,,7
663,663,AW00000663,,,,,,8
664,664,AW00000664,,,,,,9
665,665,AW00000665,,,,,,10
666,666,AW00000666,,,,,,2
667,667,AW00000667,,,,,,2
668,668,AW00000668,,,,,,1
669,669,AW00000669,,,,,,1
670,670,AW00000670,,,,,,3
671,671,AW00000671,,,,,,4
672,672,AW00000672,,,,,,1
673,673,AW00000673,,,,,,1
674,674,AW00000674,,,,,,4
675,675,AW00000675,,,,,,5
676,676,AW00000676,,,,,,5
677,677,AW00000677,,,,,,6
678,678,AW00000678,,,,,,6
679,679,AW00000679,,,,,,6
680,680,AW00000680,,,,,,7
681,681,AW00000681,,,,,,8
682,682,AW00000682,,,,,,9
683,683,AW00000683,,,,,,10
684,684,AW00000684,,,,,,2
685,685,AW00000685,,,,,,6
686,686,AW00000686,,,,,,7
687,687,AW00000687,,,,,,8
688,688,AW00000688,,,,,,9
689,689,AW00000689,,,,,,10
690,690,AW00000690,,,,,,2
691,691,AW00000691,,,,,,2
692,692,AW00000692,,,,,,1
693,693,AW00000693,,,,,,1
694,694,AW00000694,,,,,,3
695,695,AW00000695,,,,,,3
696,696,AW00000696,,,,,,1
697,697,AW00000697,,,,,,1
698,698,AW00000698,,,,,,1
699,699,AW00000699,,,,,,5
700,700,AW00000700,,,,,,5
701,701,AW00000701,,,,,,6
702,11000,AW00011000,13531.0,Jon Yang,Jon,Yang,1.0,9
703,11001,AW00011001,5454.0,Eugene Huang,Eugene,Huang,0.0,9
704,11002,AW00011002,11269.0,Ruben Torres,Ruben,Torres,2.0,9
705,11003,AW00011003,11358.0,Christy Zhu,Christy,Zhu,0.0,9
706,11004,AW00011004,11901.0,Elizabeth Johnson,Elizabeth,Johnson,1.0,9
707,11005,AW00011005,6990.0,Julio Ruiz,Julio,Ruiz,0.0,9
708,11006,AW00011006,6229.0,Janet Alvarez,Janet,Alvarez,0.0,9
709,11007,AW00011007,3878.0,Marco Mehta,Marco,Mehta,0.0,9
710,11008,AW00011008,14673.0,Rob Verhoff,Rob,Verhoff,0.0,9
711,11009,AW00011009,20229.0,Shannon Carlson,Shannon,Carlson,1.0,9
712,11010,AW00011010,6377.0,Jacquelyn Suarez,Jacquelyn,Suarez,0.0,9
713,11011,AW00011011,18258.0,Curtis Lu,Curtis,Lu,0.0,9
714,11012,AW00011012,11663.0,Lauren Walker,Lauren,Walker,2.0,1
715,11013,AW00011013,13873.0,Ian Jenkins,Ian,Jenkins,1.0,1
716,11014,AW00011014,2868.0,Sydney Bennett,Sydney,Bennett,0.0,1
717,11015,AW00011015,10963.0,Chloe Young,Chloe,Young,1.0,4
718,11016,AW00011016,3800.0,Wyatt Hill,Wyatt,Hill,1.0,4
719,11017,AW00011017,2521.0,Shannon Wang,Shannon,Wang,2.0,9
720,11018,AW00011018,7394.0,Clarence Rai,Clarence,Rai,0.0,9
721,11019,AW00011019,5132.0,Luke Lal,Luke,Lal,0.0,6
722,11020,AW00011020,17128.0,Jordan King,Jordan,King,0.0,6
723,11021,AW00011021,11489.0,Destiny Wilson,Destiny,Wilson,0.0,1
724,11022,AW00011022,6522.0,Ethan Zhang,Ethan,Zhang,1.0,1
725,11023,AW00011023,4373.0,Seth Edwards,Seth,Edwards,1.0,4
726,11024,AW00011024,16843.0,Russell Xie,Russell,Xie,2.0,4
727,11025,AW00011025,12565.0,Alejandro Beck,Alejandro,Beck,0.0,9
728,11026,AW00011026,2857.0,Harold Sai,Harold,Sai,0.0,9
729,11027,AW00011027,5526.0,Jessie Zhao,Jessie,Zhao,1.0,9
730,11028,AW00011028,15088.0,Jill Jimenez,Jill,Jimenez,1.0,9
731,11029,AW00011029,15638.0,Jimmy Moreno,Jimmy,Moreno,0.0,9
732,11030,AW00011030,17272.0,Bethany Yuan,Bethany,Yuan,0.0,9
733,11031,AW00011031,13917.0,Theresa Ramos,Theresa,Ramos,0.0,9
734,11032,AW00011032,16240.0,Denise Stone,Denise,Stone,1.0,9
735,11033,AW00011033,9475.0,Jaime Nath,Jaime,Nath,2.0,9
736,11034,AW00011034,9657.0,Ebony Gonzalez,Ebony,Gonzalez,0.0,9
737,11035,AW00011035,13948.0,Wendy Dominguez,Wendy,Dominguez,2.0,9
738,11036,AW00011036,20539.0,Jennifer Russell,Jennifer,Russell,2.0,4
739,11037,AW00011037,11014.0,Chloe Garcia,Chloe,Garcia,0.0,6
740,11038,AW00011038,18643.0,Diana Hernandez,Diana,Hernandez,0.0,9
741,11039,AW00011039,15676.0,Marc Martin,Marc,Martin,0.0,9
742,11040,AW00011040,15080.0,Jesse Murphy,Jesse,Murphy,1.0,1
743,11041,AW00011041,9940.0,Amanda Carter,Amanda,Carter,0.0,4
744,11042,AW00011042,19075.0,Megan Sanchez,Megan,Sanchez,0.0,4
745,11043,AW00011043,5960.0,Nathan Simmons,Nathan,Simmons,1.0,4
746,11044,AW00011044,5244.0,Adam Flores,Adam,Flores,0.0,9
747,11045,AW00011045,5225.0,Leonard Nara,Leonard,Nara,0.0,9
748,11046,AW00011046,19870.0,Christine Yuan,Christine,Yuan,2.0,9
749,11047,AW00011047,12928.0,Jaclyn Lu,Jaclyn,Lu,2.0,9
750,11048,AW00011048,13513.0,Jeremy Powell,Jeremy,Powell,1.0,9
